execve,0.000864
brk,0.000110
arch_prctl,0.000115
access,0.000207
openat,0.000154
fstat,0.000107
mmap,0.000110
close,0.000109
read,0.000109
pread64,0.000146
mprotect,0.000116
munmap,0.000172
set_tid_address,0.000142
set_robust_list,0.000112
rt_sigaction,0.000108
rt_sigprocmask,0.000112
prlimit64,0.000117
futex,0.000113
stat,0.000110
readlink,0.000109
getrandom,0.000110
clock_gettime,0.000168
sysinfo,0.000184
lseek,0.000112
sigaltstack,0.000198
getdents64,0.000110
fcntl,0.000167
ioctl,0.000106
dup,0.000087
geteuid,0.000106
getuid,0.000112
getegid,0.000112
getgid,0.000106
getcwd,0.000108
lstat,0.000161
exit_group,"?
"
+++,"+++
"
